in:WWR N-W,in:WWR S-E,in:SHGC N-W,in:SHGC S-E,in:EXT SHADING N-W,in:EXT SHADING S-E,out:EUI (kWh/m2/yr),out:PEAK COOLING (kW),out:PEAK HEATING (kW),out:Thermal Comfort (%),out:sDA (Area %),img
0.5,0.4,g45,g45,0,0,80.198,317.208557,190.337333,96.468156,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g45,g45,0,0,79.393,295.805163,187.707564,96.488834,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g45,g45,0,0,80.019,314.868398,190.726015,96.470913,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g45,g45,0,0,80.695,334.348051,193.719772,96.45437,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg45_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g55,g45,0,0,78.245,248.777641,180.768229,96.586711,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g55,g45,0,0,78.764,263.992783,183.831474,96.564654,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g55,g45,0,0,79.335,279.546907,186.848292,96.557761,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g55,g45,0,0,78.666,264.261679,184.299351,96.542597,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g55,g45,0,0,79.196,279.603555,187.360775,96.510891,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g55,g45,0,0,79.771,295.419108,190.337333,96.513648,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g55,g45,0,0,79.128,280.235926,187.707564,96.526055,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g55,g45,0,0,79.665,295.628886,190.726015,96.509512,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g55,g45,0,0,80.248,311.388123,193.719772,96.499862,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg55_SHGCS-Eg45_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g33,g25,1,0,77.458,260.192365,180.768229,96.509512,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g33,g25,1,0,77.872,271.092037,183.831474,96.46402,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g33,g25,1,0,78.342,283.253453,186.848292,96.447477,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g33,g25,1,0,78.027,282.803946,184.299351,96.508133,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g33,g25,1,0,78.456,293.557749,187.360775,96.480562,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g33,g25,1,0,78.939,305.468867,190.337333,96.439206,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g33,g25,1,0,78.702,306.016674,187.707564,96.488834,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W1_EXTSHADINGS-E0_Perspective.png
